state,muslim_immigrants
Alabama,68517
Alaska,36995
Arizona,232576
Arkansas,38779
California,5079680
Colorado,169897
Connecticut,148907
Delaware,35581
District of Columbia,25970
Florida,542950
Georgia,402051
Hawaii,226234
Idaho,25514
Illinois,633679
Indiana,145553
Iowa,77703
Kansas,77681
Kentucky,75390
Louisiana,65863
Maine,16306
Maryland,372510
Massachusetts,415642
Michigan,400359
Minnesota,201117
Mississippi,25765
Missouri,127865
Montana,8575
Nebraska,48474
Nevada,212695
New Hampshire,37953
New Jersey,769118
New Mexico,32574
New York,1537017
North Carolina,272107
North Dakota,13969
Ohio,275034
Oklahoma,75799
Oregon,163540
Pennsylvania,412912
Puerto Rico,0
Rhode Island,31287
South Carolina,75716
South Dakota,13372
Tennessee,125868
Texas,1255975
Utah,70669
Vermont,12332
Virginia,566726
Washington,576973
West Virginia,15573
Wisconsin,124337
Wyoming,4526
